BHID,PROYECTO,FECHA,HOLE_TYPE,COD_MES,DEPTH,XCOLLAR,YCOLLAR,ZCOLLAR,TIPO_COORD,LOC_CANAL,LEV_TOPO,SURVTYPE,IS_VALIDX,FAKE1,FAKE2
10103044615,MAND_OC_15,8/11/2015,8,201508,3.5,389040.174,8701854.284,4171.318,EJE,2,3,0,2,0,0
10103044709,MAND_OC_15,8/20/2015,8,201508,4.1,389249.325,8702098.564,3826.835,EJE,2,3,0,2,0,0
10103045692,MAND_OC_15,9/8/2015,8,201509,4.9,389635.413,8702581.94,4013.723,EJE,2,3,0,2,0,0
10103045701,MAND_OC_15,9/9/2015,8,201509,4.7,389295.107,8702158.125,3826.656,EJE,2,3,0,2,0,0
10103045795,MAND_OC_15,9/19/2015,8,201509,4.4,389049.466,8701864.626,4173.853,EJE,2,3,0,2,0,0
10103046118,MAND_OC_15,9/20/2015,8,201509,3.5,390079.79,8703107.335,4664.369,EJE,2,3,0,2,0,0
10103046186,MAND_OC_15,9/23/2015,8,201509,3.5,390160.076,8703226.113,4664.823,EJE,2,3,0,2,0,0
10103046412,MAND_OC_15,10/1/2015,8,201510,4.2,389568.331,8702481.738,3904.687,EJE,2,3,0,2,0,0
10103046489,MAND_OC_15,10/13/2015,8,201510,4.4,389166.457,8701992.514,3843.034,EJE,2,3,0,2,0,0
10103046762,MAND_OC_15,9/30/2015,8,201509,3.7,389654.88,8702617.984,4014.498,EJE,2,3,0,2,0,0
10103046784,MAND_OC_15,10/2/2015,8,201510,5.4,389521.122,8702398.483,3850.495,EJE,2,3,0,2,0,0
10103046910,MAND_OC_15,10/5/2015,8,201510,4.2,389276.8815,8702369.082,3833.6104,EJE,3,3,0,2,0,0
10103046917,MAND_OC_15,10/5/2015,8,201510,2.05,389271.45,8702371.05,3834.03,EJE,4,3,0,2,0,0
10103047207,MAND_OC_15,10/17/2015,8,201510,4.7,389467.997,8702359.146,3832.691,EJE,2,3,0,2,0,0
10103047301,MAND_OC_15,10/20/2015,8,201510,4,390159.785,8703224.45,4678.103,EJE,2,3,0,2,0,0
10103047320,MAND_OC_15,10/20/2015,8,201510,4.4,389200.404,8702028.256,3842.6,EJE,2,3,0,2,0,0
10103047359,MAND_OC_15,10/22/2015,8,201510,4.8,389515.299,8702416.563,4014.7468,EJE,2,3,0,2,0,0
